,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1980,Maruti Alto LX,Hyderabad,2010,94753,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,1.95
1981,Hyundai Xcent 1.2 Kappa SX Option,Bangalore,2016,50000,Petrol,Manual,First,19.1 kmpl,1197 CC,82 bhp,5.0,2.5
1982,BMW X6 xDrive 40d M Sport,Chennai,2016,25000,Diesel,Automatic,First,15.87 kmpl,2993 CC,308.43 bhp,5.0,60.0
1983,Maruti Ertiga ZDI,Kolkata,2012,38092,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,5.2
1984,Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,1.6
1985,Hyundai Creta 1.6 SX Plus Diesel,Bangalore,2015,29000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,13.0
1986,Land Rover Freelander 2 SE,Ahmedabad,2012,75000,Diesel,Automatic,Second,12.39 kmpl,2179 CC,147.51 bhp,5.0,17.5
1987,Maruti Wagon R LXI BSIII,Pune,2013,53000,Petrol,Manual,First,14.0 kmpl,1061 CC,64 bhp,5.0,2.75
1988,Volkswagen Polo 1.2 MPI Highline,Coimbatore,2014,72465,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,5.9
1989,Audi A6 2011-2015 2.0 TDI Technology,Kochi,2015,31652,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,26.78
1990,Mahindra Scorpio VLX,Mumbai,2011,100010,Diesel,Manual,Second,12.05 kmpl,2179 CC,120 bhp,8.0,5.5
1991,Toyota Corolla Altis D-4D GL,Mumbai,2014,74219,Diesel,Manual,First,21.43 kmpl,1364 CC,87.2 bhp,5.0,10.75
1992,Toyota Fortuner 4x2 AT,Hyderabad,2016,55547,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,24.99
1993,Honda Amaze S Diesel,Kolkata,2013,46500,Diesel,Manual,First,27.4 kmpl,1498 CC,98.6 bhp,5.0,3.3
1994,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2012,63000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,4.2
1995,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,8.35
1996,Maruti Baleno Delta 1.3,Hyderabad,2017,20000,Diesel,Manual,First,27.39 kmpl,1248 CC,74 bhp,5.0,8.5
1997,Maruti Swift VDI BSIV,Pune,2007,121000,Diesel,Manual,Second,17.8 kmpl,1248 CC,null bhp,5.0,2.35
1998,Maruti A-Star Vxi,Jaipur,2009,65000,Petrol,Manual,Second,19.0 kmpl,998 CC,66.1 bhp,5.0,2.05
1999,Tata Indica DLS,Hyderabad,2005,100000,Diesel,Manual,Second,13.5 kmpl,1405 CC,null bhp,5.0,1.3
2000,Mercedes-Benz E-Class Facelift,Coimbatore,2018,56652,Diesel,Automatic,First,13.0 kmpl,2987 CC,258 bhp,5.0,50.29
2001,Skoda Rapid 1.5 TDI Ambition,Coimbatore,2018,5833,Diesel,Manual,First,21.13 kmpl,1498 CC,108.4 bhp,5.0,11.92
2002,Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,Diesel,Manual,First,20.14 kmpl,1498 CC,88 bhp,5.0,8.12
2003,Maruti Ciaz VDi Plus SHVS,Kolkata,2015,34400,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5.0,5.5
2004,Hyundai Verna 1.6 SX,Kolkata,2013,37873,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,4.8
2005,Maruti Alto K10 VXI,Mumbai,2017,12000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,3.25
2006,Hyundai i20 Sportz 1.2,Delhi,2015,50000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,4.95
2007,Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Kolkata,2010,50645,Petrol,Automatic,Second,10.93 kmpl,2497 CC,204 bhp,5.0,10.75
2008,Honda City ZX CVT,Kolkata,2006,44000,Petrol,Automatic,First,16.4 kmpl,1497 CC,78 bhp,5.0,1.5
2009,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Kochi,2017,36884,Diesel,Automatic,First,13.0 kmpl,2143 CC,204 bhp,5.0,32.25
2010,Maruti Celerio ZXI,Hyderabad,2015,47020,Petrol,Manual,Second,23.1 kmpl,998 CC,67.04 bhp,5.0,4.5
2011,Toyota Camry 2.5 Hybrid,Pune,2018,17585,Petrol,Automatic,First,19.16 kmpl,2494 CC,157.7 bhp,5.0,32.0
2012,Hyundai Elantra CRDi SX,Hyderabad,2012,125928,Diesel,Manual,First,22.7 kmpl,1582 CC,126.24 bhp,5.0,9.0
2013,Maruti Ertiga VDI,Kochi,2015,58734,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,6.91
2014,Maruti Swift Dzire VDi,Jaipur,2014,65000,Diesel,Manual,First,19.3 kmpl,1248 CC,73.9 bhp,5.0,5.31
2015,BMW 3 Series 320d Sport,Chennai,2014,48000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,21.6
2016,Ford Fiesta EXi 1.4 TDCi Ltd,Hyderabad,2010,84000,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5.0,2.41
2017,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,24465,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,39.45
2018,BMW X5 X5 M,Chennai,2017,15000,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,5.0,70.0
2019,Hyundai i10 Sportz,Mumbai,2011,35000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,2.75
2020,Maruti Wagon R LXI,Delhi,2012,45631,Petrol,Manual,Second,22.5 kmpl,998 CC,67.04 bhp,5.0,2.74
2021,Hyundai i20 1.2 Magna,Ahmedabad,2010,65000,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,3.0
2022,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,67000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,16.5
2023,Hyundai EON Magna,Ahmedabad,2014,47000,Petrol,Manual,First,22.0 kmpl,814 CC,55 bhp,5.0,2.65
2024,Hyundai Creta 1.6 SX Plus Petrol Automatic,Coimbatore,2018,23875,Petrol,Automatic,First,13.0 kmpl,1591 CC,121.3 bhp,5.0,14.36
2025,Toyota Platinum Etios 1.4 GXD,Hyderabad,2015,150000,Diesel,Manual,First,23.59 kmpl,1364 CC,67.05 bhp,5.0,6.0
2026,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2012,49000,Diesel,Automatic,Second,14.84 kmpl,2143 CC,167.62 bhp,5.0,19.25
2027,Hyundai i10 Magna 1.1,Pune,2012,44000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,2.9
2028,Audi Q3 35 TDI Quattro Premium,Hyderabad,2015,61000,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5.0,25.0
2029,Hyundai Elantra CRDi SX,Coimbatore,2019,41871,Diesel,Manual,First,22.7 kmpl,1582 CC,126.2 bhp,5.0,15.57
2030,Honda Amaze EX i-Vtech,Kolkata,2014,48000,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,2.75
2031,Jaguar XF 2.2 Litre Luxury,Chennai,2014,43000,Diesel,Automatic,Second,16.36 kmpl,2179 CC,187.7 bhp,5.0,26.5
2032,Tata Tigor 1.2 Revotron XT,Mumbai,2018,22345,Petrol,Manual,First,20.3 kmpl,1199 CC,84 bhp,5.0,4.95
2033,Ford Figo 2015-2019 1.2P Titanium MT,Hyderabad,2018,3678,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5.0,6.8
2034,BMW X5 xDrive 30d,Hyderabad,2011,75000,Diesel,Automatic,First,11.7 kmpl,2993 CC,245 bhp,5.0,27.5
2035,Maruti Swift VDI BSIV,Delhi,2015,60095,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,4.75
2036,Mercedes-Benz E-Class E250 CDI Avantgrade,Kochi,2015,41057,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5.0,24.63
2037,Skoda Rapid 1.5 TDI AT Ambition,Ahmedabad,2015,60001,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5.0,7.25
2038,Toyota Fortuner 3.0 Diesel,Delhi,2010,76000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,9.25
2039,Honda City i DTEC V,Kochi,2015,42831,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,7.11
2040,Mahindra XUV500 W6 2WD,Kochi,2017,41290,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7.0,10.94
2041,Maruti Ciaz Zeta,Mumbai,2017,5500,Petrol,Manual,First,21.56 kmpl,1462 CC,103.25 bhp,5.0,8.2
2042,Hyundai i10 Sportz AT,Coimbatore,2014,41016,Petrol,Automatic,Second,16.95 kmpl,1197 CC,78.9 bhp,5.0,5.08
2043,Honda Civic 2006-2010 1.8 V AT,Kochi,2011,56361,Petrol,Automatic,First,12.9 kmpl,1799 CC,130 bhp,5.0,4.38
2044,Maruti SX4 Zxi BSIII,Chennai,2007,62493,Petrol,Manual,First,15.0 kmpl,1586 CC,104.68 bhp,5.0,1.8
2045,Audi A4 2.0 TDI,Hyderabad,2011,85000,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,13.95
2046,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9 kmpl,1991 CC,112.2 bhp,5.0,4.25
2047,BMW 5 Series 2013-2017 520d M Sport,Pune,2018,7000,Diesel,Automatic,First,18.12 kmpl,1995 CC,190 bhp,5.0,46.0
2048,Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,89614,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5.0,6.01
2049,Datsun redi-GO T Option,Bangalore,2016,20487,Petrol,Manual,First,22.7 kmpl,799 CC,53.64 bhp,5.0,2.66
2050,Maruti Swift VXI Optional,Kochi,2017,37124,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,5.44
2051,Skoda Superb Elegance 2.0 TDI CR AT,Mumbai,2011,83010,Diesel,Automatic,First,17.2 kmpl,1968 CC,138.1 bhp,5.0,7.5
2052,Mahindra Bolero ZLX BSIII,Kolkata,2000,124000,Diesel,Manual,First,13.6 kmpl,2523 CC,63 bhp,7.0,1.95
2053,Hyundai Santro Xing XL,Hyderabad,2006,99000,Petrol,Manual,First,0.0 kmpl,1086 CC,null bhp,5.0,1.75
2054,Ford Figo Petrol ZXI,Coimbatore,2011,51928,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5.0,3.46
2055,Audi Q7 3.0 TDI Quattro Technology,Coimbatore,2014,102865,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7.0,30.5
2056,Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,40600,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5.0,7.2
2057,Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55 kmpl,2498 CC,105 bhp,6.0,5.5
2058,Chevrolet Beat Diesel LT,Hyderabad,2012,61250,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5.0,2.7
2059,Maruti Alto 800 LXI,Kochi,2016,32227,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,3.26
2060,Mahindra Scorpio VLX 2.2 mHawk BSIII,Coimbatore,2012,62729,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8.0,6.32
2061,Volkswagen Polo Petrol Trendline 1.2L,Bangalore,2011,66000,Petrol,Manual,Second,16.47 kmpl,1198 CC,73.9 bhp,5.0,3.6
2062,Honda City i VTEC CVT VX,Kochi,2018,34696,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,12.08
2063,Maruti Swift VDI,Pune,2014,75216,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,5.1
2064,Mahindra XUV500 W8 4WD,Hyderabad,2012,123600,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,8.25
2065,BMW 3 Series 320d GT Luxury Line,Mumbai,2015,32500,Diesel,Automatic,First,19.59 kmpl,1995 CC,187.74 bhp,5.0,26.75
2066,Maruti Swift LDI,Delhi,2015,51000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,4.74
2067,Maruti Wagon R VXI,Mumbai,2010,19119,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,2.7
2068,Hyundai i20 Asta 1.2,Mumbai,2015,42575,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,5.05
2069,Audi Q7 3.0 TDI Quattro Technology,Hyderabad,2012,88000,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7.0,36.5
2070,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2014,72469,Diesel,Automatic,First,12.07 kmpl,2967 CC,241.4 bhp,7.0,32.52
2071,Nissan Micra Active XV,Ahmedabad,2016,41000,Petrol,Manual,First,19.69 kmpl,1198 CC,67.04 bhp,5.0,4.25
2072,Maruti Alto K10 2010-2014 VXI,Pune,2012,69000,Petrol,Manual,First,20.92 kmpl,998 CC,67.1 bhp,5.0,2.1
2073,Honda CR-V 2.4L 4WD AT,Mumbai,2007,66000,Petrol,Automatic,First,11.1 kmpl,2354 CC,158.8 bhp,5.0,3.7
2074,Mercedes-Benz New C-Class C250 Avantgarde,Delhi,2011,64000,Petrol,Automatic,Second,11.74 kmpl,1796 CC,186 bhp,5.0,12.5
2075,Volkswagen Vento Diesel Comfortline,Kochi,2013,47910,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,4.89
2076,Hyundai i20 1.2 Sportz,Hyderabad,2012,58000,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5.0,4.0
2077,Mercedes-Benz E-Class E250 CDI Avantgrade,Delhi,2014,40000,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5.0,24.0
2078,Maruti Celerio LDi,Hyderabad,2016,80219,Diesel,Manual,First,27.62 kmpl,793 CC,47 bhp,5.0,3.5
2079,Hyundai Santro Xing XL,Chennai,2006,58000,Petrol,Manual,Second,0.0 kmpl,1086 CC,null bhp,5.0,1.5
2080,BMW 3 Series 320d Highline,Pune,2011,99606,Diesel,Automatic,Second,16.07 kmpl,1995 CC,181 bhp,5.0,10.5
2081,Hyundai i10 Magna 1.2,Kolkata,2011,35082,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,2.21
2082,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,47000,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,7.0,41.5
2083,BMW 3 Series 320d Highline,Hyderabad,2009,58000,Diesel,Automatic,First,16.07 kmpl,1995 CC,181 bhp,5.0,13.5
2084,Volkswagen Polo 1.2 MPI Comfortline,Pune,2011,36431,Petrol,Manual,First,16.2 kmpl,1199 CC,74 bhp,5.0,2.7
2085,Hyundai EON Era Plus,Kolkata,2016,11583,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,2.75
2086,Mitsubishi Pajero 2.8 GLX CRZ,Hyderabad,2007,78000,Diesel,Manual,Second,10.5 kmpl,2835 CC,107.2 bhp,6.0,6.2
2087,Chevrolet Aveo U-VA 1.2 LS,Jaipur,2007,140000,Petrol,Manual,First,15.26 kmpl,1150 CC,74.9 bhp,5.0,0.9
2088,Mahindra Ssangyong Rexton RX7,Hyderabad,2013,61202,Diesel,Automatic,First,11.18 kmpl,2696 CC,184 bhp,7.0,14.5
2089,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.92 kmpl,998 CC,67.1 bhp,5.0,2.75
2090,Hyundai Verna Transform SX VTVT,Bangalore,2011,61000,Petrol,Manual,Second,16.2 kmpl,1599 CC,103.2 bhp,5.0,3.4
2091,Honda Amaze SX i-VTEC,Hyderabad,2016,33000,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5.0,6.5
2092,Maruti Alto 800 2016-2019 LXI,Chennai,2016,61000,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5.0,2.9
2093,Mercedes-Benz New C-Class 200 Kompressor,Hyderabad,2010,65000,Petrol,Manual,Second,11.7 kmpl,1796 CC,178 bhp,5.0,11.75
2094,Honda Amaze E i-Vtech,Ahmedabad,2014,72411,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,4.25
2095,Audi Q7 35 TDI Quattro Premium Plus,Mumbai,2015,65938,Diesel,Automatic,Second,12.07 kmpl,2967 CC,241.4 bhp,7.0,38.0
2096,Hyundai EON Magna Plus,Coimbatore,2015,26568,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,3.79
2097,Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,8.1
2098,Hyundai i20 Asta 1.2,Coimbatore,2016,40310,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,7.09
2099,Hyundai i20 Asta (o) 1.4 CRDi (Diesel),Jaipur,2014,82450,Diesel,Manual,First,23.0 kmpl,1396 CC,90 bhp,5.0,5.85
2100,Chevrolet Beat Diesel,Hyderabad,2012,72921,Diesel,Manual,First,25.44 kmpl,936 CC,57.6 bhp,5.0,2.5
2101,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,31271,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8.0,21.42
2102,Honda City 1.5 V MT,Delhi,2010,80302,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,3.5
2103,Ford Figo Diesel EXI,Pune,2010,129986,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5.0,3.2
2104,Mahindra XUV500 W8 1.99 mHawk,Chennai,2011,143354,Diesel,Manual,Second,16.0 kmpl,1997 CC,140 bhp,7.0,6.0
2105,Honda Civic 2006-2010 1.8 MT Sport,Jaipur,2007,92000,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5.0,1.9
2106,Volkswagen Polo 1.0 MPI Comfortline,Chennai,2016,42000,Petrol,Manual,Second,18.78 kmpl,999 CC,75 bhp,5.0,5.5
2107,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,33.66
2108,Tata Indigo CS LX (TDI) BS III,Jaipur,2008,128813,Diesel,Manual,First,19.09 kmpl,1396 CC,69 bhp,5.0,1.5
2109,Mercedes-Benz E-Class E250 CDI Launch Edition,Coimbatore,2015,73187,Diesel,Automatic,First,13.0 kmpl,2143 CC,204 bhp,5.0,30.72
2110,Toyota Fortuner 3.0 Diesel,Bangalore,2014,72000,Diesel,Manual,Second,11.5 kmpl,2982 CC,171 bhp,7.0,18.5
2111,Toyota Etios Liva V,Mumbai,2013,8950,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5.0,3.55
2112,Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2013,69000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,7.2
2113,Mercedes-Benz E-Class 280 CDI,Kochi,2009,80464,Diesel,Automatic,Second,11.0 kmpl,2987 CC,198.5 bhp,5.0,9.29
2114,Maruti Wagon R LXI,Ahmedabad,2010,21002,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,2.75
2115,Ford Fiesta EXi 1.4 TDCi Ltd,Hyderabad,2011,52000,Diesel,Manual,First,17.8 kmpl,1399 CC,68 bhp,5.0,3.75
2116,Mahindra Xylo D4,Chennai,2016,85000,Diesel,Manual,First,14.95 kmpl,2489 CC,93.7 bhp,7.0,6.15
2117,Toyota Innova 2.5 VX (Diesel) 7 Seater,Pune,2015,65000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7.0,15.0
2118,BMW 3 Series 320d Luxury Line,Coimbatore,2016,14351,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,35.55
2119,Honda City i VTEC CVT VX,Kochi,2016,58197,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5.0,9.19
2120,Maruti Omni 8 Seater BSIV,Hyderabad,2015,52950,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5.0,2.35
2121,Mercedes-Benz New C-Class 200 Kompressor,Delhi,2011,62148,Petrol,Manual,First,11.7 kmpl,1796 CC,178 bhp,5.0,8.8
2122,Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,Diesel,Manual,Second,19.5 kmpl,1248 CC,75 bhp,5.0,2.5
2123,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,20689,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5.0,6.07
2124,Honda City 1.5 S MT,Mumbai,2014,58000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5.0,5.47
2125,Ford Endeavour 2.2 Trend MT 4X4,Hyderabad,2016,107890,Diesel,Manual,First,13.5 kmpl,2198 CC,157.7 bhp,7.0,20.5
2126,Toyota Innova Crysta 2.4 VX MT,Mumbai,2016,25121,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,17.11
2127,Chevrolet Optra Magnum 2.0 LS BSIII,Coimbatore,2008,82160,Diesel,Manual,First,16.52 kmpl,1991 CC,123.7 bhp,5.0,2.57
2128,Toyota Etios VXD,Pune,2015,65000,Diesel,Manual,Second,23.59 kmpl,1364 CC,67.04 bhp,5.0,5.0
2129,Hyundai i10 Era,Ahmedabad,2008,60000,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,1.99
2130,Skoda Octavia Elegance 2.0 TDI AT,Mumbai,2015,23000,Diesel,Automatic,First,19.3 kmpl,1968 CC,141 bhp,5.0,15.75
2131,Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15 kmpl,1198 CC,75.94 bhp,5.0,6.55
2132,Honda City 1.5 GXI,Mumbai,2005,81000,Petrol,Manual,Second,12.8 kmpl,1493 CC,100 bhp,5.0,1.1
2133,Hyundai Santro Xing GLS,Coimbatore,2012,43337,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,3.32
2134,Hyundai Grand i10 AT Asta,Coimbatore,2017,23576,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,7.08
2135,Hyundai i10 Sportz 1.1L,Kolkata,2015,24350,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5.0,3.0
2136,Hyundai Santa Fe 4x4 AT,Mumbai,2011,67000,Diesel,Automatic,Second,11.72 kmpl,2199 CC,194.3 bhp,7.0,7.0
2137,Maruti Alto LXi BSII,Mumbai,2008,54000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,1.1
2138,Maruti Swift Dzire VXI,Kolkata,2014,33000,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5.0,3.99
2139,Mahindra XUV500 W8 2WD,Kochi,2014,49663,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,8.42
2140,Ford Figo 2015-2019 1.2P Titanium Opt MT,Coimbatore,2017,25095,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5.0,6.48
2141,Toyota Fortuner 3.0 Diesel,Delhi,2011,86000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7.0,11.5
2142,Honda Accord 2.4 Inspire M/T,Mumbai,2012,42000,Petrol,Manual,First,9.8 kmpl,2354 CC,180 bhp,5.0,6.25
2143,Maruti Ertiga ZDI,Pune,2013,105000,Diesel,Manual,Second,25.47 kmpl,1248 CC,88.50 bhp,7.0,6.75
2144,BMW 3 Series 320d Corporate Edition,Delhi,2012,76000,Diesel,Automatic,First,16.07 kmpl,1995 CC,181 bhp,4.0,8.75
2145,Mercedes-Benz S-Class 280 AT,Chennai,2003,111000,Petrol,Automatic,First,13.0 kmpl,2987 CC,210 bhp,5.0,6.5
2146,Maruti SX4 S Cross DDiS 320 Zeta,Chennai,2015,73000,Diesel,Manual,First,22.7 kmpl,1598 CC,118 bhp,5.0,8.25
2147,Maruti Vitara Brezza VDi Option,Coimbatore,2017,71256,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,9.58
2148,Hyundai i20 Magna Optional 1.2,Bangalore,2013,445000,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5.0,4.45
2149,Ford Classic 1.4 Duratorq Titanium,Chennai,2014,83500,Diesel,Manual,Second,19.68 kmpl,1399 CC,67 bhp,5.0,3.0
2150,Hyundai Grand i10 Sportz,Coimbatore,2017,47774,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,6.04
2151,Toyota Innova 2.5 G4 Diesel 8-seater,Hyderabad,2015,147848,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,13.2
2152,Porsche Cayenne Turbo S,Mumbai,2010,35000,Petrol,Automatic,Second,11.9 kmpl,4806 CC,550 bhp,5.0,32.0
2153,Hyundai Accent CRDi,Mumbai,2005,150000,Diesel,Manual,First,13.1 kmpl,1493 CC,82 bhp,5.0,0.85
2154,Honda City i-VTEC S,Jaipur,2010,48689,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5.0,3.87
2155,Toyota Fortuner 2.8 4WD MT,Hyderabad,2010,110000,Diesel,Manual,First,14.24 kmpl,2755 CC,174.5 bhp,7.0,13.7
2156,Chevrolet Cruze LTZ,Hyderabad,2012,62005,Diesel,Manual,First,18.3 kmpl,1991 CC,147.9 bhp,5.0,9.8
2157,Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde,Kochi,2016,35939,Petrol,Manual,First,12.3 kmpl,1796 CC,185 bhp,5.0,30.42
2158,Hyundai Verna 1.6 SX CRDi (O),Jaipur,2013,69573,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,5.0,5.85
2159,Maruti Celerio LXI,Hyderabad,2014,58470,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5.0,3.9
2160,Honda City 1.5 V MT,Pune,2009,138000,Petrol,Manual,Second,17.0 kmpl,1497 CC,118 bhp,5.0,3.5
2161,Tata Sumo EX,Kolkata,2016,46300,Diesel,Manual,First,14.07 kmpl,1948 CC,83.1 bhp,7.0,4.85
2162,Ford Endeavour 3.0L 4X4 AT,Hyderabad,2012,91696,Diesel,Automatic,First,11.4 kmpl,2953 CC,153.86 bhp,7.0,9.25
2163,Tata Tiago AMT 1.2 Revotron XZA,Pune,2018,2000,Petrol,Automatic,First,23.84 kmpl,1199 CC,83.83 bhp,5.0,5.0
2164,Maruti Wagon R VXI BS IV with ABS,Kolkata,2016,29930,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,3.35
2165,Honda Jazz Exclusive CVT,Mumbai,2018,3000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5.0,8.25
